feature,count,pearson_correlation,spearman_correlation,mean_absolute_error,effect_size,truth_mean,reconstruction_mean
concentration,1000,0.7303618538930728,0.7634177354177354,0.13437735055779687,-1.356795798646628,0.6339058147092287,0.4995284641514319
asymmetry,1000,0.9199619239590984,0.9215572775572777,0.13557997805042038,-0.3379452156876014,0.7549342043624883,0.6601504264647633
gini,1000,0.8592229247842743,0.8651678531678532,0.08656083111021749,-1.1467779316829496,0.7529469172617514,0.6663860861515338
m20,1000,0.14428405821729687,0.1704850464850465,0.24623536088057482,3.219819003445087,-2.0097444043288064,-1.7734585168736632
ellipticity,1000,0.7958362216910595,0.7835293355293357,0.05163654368653765,-0.26929814786487033,0.313195661573271,0.28554457760361457
effective_radius,1000,-0.8391425003952545,-0.6733387933387933,3.275022543531091,2.424692966121205,12.310881534617943,15.585904078149035
axis_ratio,1000,0.7958362216910595,0.7835293355293357,0.05163654368653765,0.26929814786487033,0.6868043384267289,0.7144554223963854
hu_1,1000,0.1752747220984373,0.26445153645153646,0.21518919655929533,-1.506756903594234,0.7421792695814818,0.5748771479714598
hu_2,1000,0.7539705666357132,0.8595949635949638,0.03450778477467463,-0.7518309380444823,0.061002117087743196,0.027985625291694866
hu_3,1000,0.0682131624726,0.16301859101859104,0.004005565978182179,1.0941562802492282,0.0017323573833436397,0.004290591424114203
hu_4,1000,0.23087624412906813,0.4062049782049782,0.0045523853293849776,-0.27393806184492436,0.0049029834546606395,0.0029843116864591113
hu_5,1000,0.03798000300826402,0.38508408108408115,5.1086029105121056e-05,-0.1490244464154931,3.472776618204229e-05,1.599092666394567e-05
hu_6,1000,0.26562584774157566,0.5520172800172801,0.0012132059572185594,-0.3189875353230696,0.0012396151369085296,0.000450862524644201
hu_7,1000,-0.016201037067839583,0.11730716130716132,2.2078476304695962e-05,-0.07459147333483544,1.1816530806217843e-06,-5.116261618524627e-07
