source,evaluation,count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,elliptical_precision,elliptical_recall,elliptical_f1,elliptical_support,spiral_precision,spiral_recall,spiral_f1,spiral_support,roc_auc,confidence_drop_fraction,strong_agreement_fraction,weak_agreement_fraction,disagreement_fraction
svm_existing_64_protocol,svm_true_sources_cross_validated,90,0.8777777777777778,0.8455528846153846,0.8538461538461539,0.8455528846153846,0.8495212038303693,0.9076923076923077,0.921875,0.9147286821705426,64,0.8,0.7692307692307693,0.7843137254901961,26,0.8954326923076923,,,,
svm_existing_64_protocol,svm_reconstructed_sources_cross_validated,90,0.8111111111111111,0.7530048076923077,0.77319922128488,0.7530048076923077,0.7616451160616918,0.8507462686567164,0.890625,0.8702290076335878,64,0.6956521739130435,0.6153846153846154,0.6530612244897959,26,0.8569711538461539,,,,
svm_existing_64_protocol,svm_train_true_test_heldout_reconstructed,90,0.5666666666666667,0.5811298076923077,0.5666666666666667,0.5811298076923077,0.546453030107249,0.7777777777777778,0.546875,0.6422018348623854,64,0.35555555555555557,0.6153846153846154,0.4507042253521127,26,0.5958533653846153,,,,
svm_existing_64_protocol,svm_train_true_plus_reconstructed_test_heldout_reconstructed,90,0.8,0.7223557692307692,0.7642857142857142,0.7223557692307692,0.7371836469824788,0.8285714285714286,0.90625,0.8656716417910447,64,0.7,0.5384615384615384,0.6086956521739131,26,0.8515625,,,,
svm_existing_64_protocol,morphology_prediction_preservation,90,0.5777777777777777,,,,,,,,,,,,,,0.8333333333333334,,,
svm_existing_64_protocol,morphology_prediction_preservation_reconstruction_aware,90,0.8777777777777778,,,,,,,,,,,,,,0.6444444444444445,,,
cnn_existing_64_protocol,fold_1_cnn_heldout_true_sources,18,0.8888888888888888,0.8333333333333333,0.9285714285714286,0.8333333333333333,0.8615384615384616,0.8571428571428571,1.0,0.9230769230769231,12,1.0,0.6666666666666666,0.8,6,0.9305555555555556,,,,
cnn_existing_64_protocol,fold_1_cnn_heldout_reconstructed_sources,18,0.5,0.5833333333333334,0.5923076923076923,0.5833333333333334,0.4984520123839009,0.8,0.3333333333333333,0.47058823529411764,12,0.38461538461538464,0.8333333333333334,0.5263157894736842,6,0.6527777777777778,,,,
cnn_existing_64_protocol,fold_2_cnn_heldout_true_sources,18,0.9444444444444444,0.9,0.9642857142857143,0.9,0.9259259259259258,0.9285714285714286,1.0,0.9629629629629629,13,1.0,0.8,0.8888888888888888,5,0.8307692307692308,,,,
cnn_existing_64_protocol,fold_2_cnn_heldout_reconstructed_sources,18,0.5,0.6538461538461539,0.6785714285714286,0.6538461538461539,0.4984520123839009,1.0,0.3076923076923077,0.47058823529411764,13,0.35714285714285715,1.0,0.5263157894736842,5,0.7538461538461538,,,,
cnn_existing_64_protocol,fold_3_cnn_heldout_true_sources,18,0.9444444444444444,0.9,0.9642857142857143,0.9,0.9259259259259258,0.9285714285714286,1.0,0.9629629629629629,13,1.0,0.8,0.8888888888888888,5,0.8307692307692308,,,,
cnn_existing_64_protocol,fold_3_cnn_heldout_reconstructed_sources,18,0.8333333333333334,0.8846153846153846,0.8125,0.8846153846153846,0.8193979933110368,1.0,0.7692307692307693,0.8695652173913043,13,0.625,1.0,0.7692307692307693,5,0.9692307692307692,,,,
