id,runtime_seconds,mse_raw,psnr_raw,ssim_raw,ncc_raw,mse_aligned,psnr_aligned,ssim_aligned,ncc_aligned,align_shift_y,align_shift_x,centroid_error,source_size_error,axis_ratio_error,orientation_error,flux_error_fraction,concentration_error,asymmetry_error,forward_mse,forward_psnr,forward_ssim,forward_ncc,forward_residual_mean,forward_residual_std,direct_supported_fraction,interpolated_fraction,empty_fraction,extrapolated_fraction,nearest_distance_pixels_p95,magnification_proxy_median,source_caustic_distance_proxy_median,theta_E,source_R_sersic,source_n_sersic
lens_00000,2.64823469996918,0.0010526704741914798,29.777075581949248,0.8283738518739994,0.8574622746383,0.0010526704741914798,29.777075581949248,0.8283738518739993,0.8574622746383,0.0,0.0,1.046826806791983,5.0868083845827385,0.0069519980372863,0.8811336752819159,0.18170732094877165,0.04101456552123928,0.0024134429821221492,0.0041561016783437385,23.81313836041846,0.45758111146826974,0.7674820884533183,0.0303782278359423,0.05686180573892566,0.59033203125,0.255615234375,0.094482421875,0.0771484375,5.252209886888698,5.534999475799039,0.15486603367912935,1.1206186406763283,0.07658505629544846,1.902148313994402
lens_00001,0.4018114999635145,0.0009948617190390894,30.022372798891848,0.808893206906198,0.832875260417414,0.0009948617190390892,30.022372798891848,0.8088932069061983,0.8328752604174141,0.0,0.0,1.000684643240083,3.8992629928524085,0.005432146779468683,17.320116726814632,0.08845992529618134,0.005568075604014622,0.17543515738508064,0.0016847256893294524,27.73470801800745,0.6821528627245828,0.9024665420948935,0.018495170527973427,0.03664224824530607,0.588623046875,0.280029296875,0.06640625,0.08544921875,3.8225011089626886,5.8301251034283235,0.18212946362366686,1.2430283237898223,0.07577090002126795,2.0520300348066707
lens_00002,0.3747938999440521,0.0010137911171165547,29.940515184037636,0.8069226081417721,0.8343229167332438,0.0010137911171165547,29.940515184037636,0.8069226081417721,0.8343229167332438,0.0,0.0,0.8319436896194113,4.774503943531551,0.0741302909953262,3.0866909100723774,0.1818934649618506,0.0672181813556395,0.18665809373439657,0.002983771019628422,25.252345085209306,0.5697873399315154,0.8311795799232403,0.02512435862685195,0.04850296509717475,0.5478515625,0.15966796875,0.213623046875,0.101806640625,8.724150826672735,4.870084471564605,0.19036662843042368,0.930019614477649,0.11868814468161439,2.081010174209849
lens_00003,0.3594532000133768,0.0015735665350541377,28.031148891054123,0.9253647936549521,0.9522314862249815,0.0015735665350541377,28.031148891054123,0.9253647936549522,0.9522314862249817,0.0,0.0,0.28894102781338854,0.06378720366752333,0.002260405481450345,0.041245662161117025,0.12852481622281636,0.10693295343951581,0.12940397752634186,0.0017128523130255599,27.66280081519673,0.8393841105801668,0.9429596516517126,0.017781277333037533,0.03737216195821651,0.516357421875,0.1728515625,0.231689453125,0.101318359375,10.563985001303843,6.67636217427767,0.13551116599705634,1.2398656768508838,0.12769708690649545,1.298433196465977
lens_00004,0.4693530999356881,0.0011718954681881684,29.311111251896943,0.865726607163132,0.9082286396559316,0.0011718954681881686,29.31111125189694,0.8657266071631318,0.9082286396559316,0.0,0.0,0.878479789535665,1.37453821455669,0.0258116682501488,0.162983680385679,0.06374037080783448,0.05801043496456293,0.13193144450457994,0.0029097799504531883,25.36139852910104,0.6468105733800711,0.8608014835080704,0.02376261318948165,0.04842642011196224,0.62060546875,0.26953125,0.0478515625,0.0869140625,2.917194028184297,5.609463479098149,0.16337901144915204,1.0649047060165993,0.11648411373452076,1.6880352837532717
lens_00005,0.5785137000493705,0.0016246592494983975,27.89237712580807,0.7682817321962557,0.8198396714623198,0.0016246592494983973,27.892377125808075,0.7682817321962553,0.8198396714623197,0.0,0.0,0.9411925390798809,4.687859332480871,0.05711639793578416,0.7868339540571156,0.18570025577576033,0.10625229026180827,0.18077944752329012,0.004429374908570718,23.53657558858931,0.5291234607820278,0.8031947658226652,0.03222746479477788,0.05823027924947699,0.587158203125,0.19287109375,0.150390625,0.087158203125,8.83683633333586,4.793702227309286,0.20650494867998523,0.8948745546493189,0.11767611176566871,1.6637999548980376
lens_00006,0.4033091999590397,0.0019895833990200844,27.012378514534653,0.8154215638997129,0.8710264208569215,0.0019895833990200844,27.012378514534653,0.8154215638997128,0.8710264208569214,0.0,0.0,0.07269382871709285,1.142821091655092,0.01026298517993085,3.1491745233278294,0.10472279060082106,0.08705990173006584,0.08279009936588555,0.0016803019209591075,27.746126761160525,0.801314069706598,0.9287779928767289,0.017719724945826014,0.036963674990500864,0.59228515625,0.2333984375,0.099853515625,0.092529296875,5.175554459079962,6.475418360390542,0.13061470244569218,1.2489951268140242,0.10256187356599009,1.9040341420207123
lens_00007,0.38661649997811764,0.0014913270974024572,28.26427090942086,0.7131509988755529,0.7594952458784325,0.0014913270974024572,28.26427090942086,0.7131509988755529,0.7594952458784325,0.0,0.0,1.1100434573529772,4.8667305647478045,0.021275807848502803,3.582335922039448,0.13802409565278587,0.04753301848863889,0.3241967261556936,0.003490330278604511,24.571334752217165,0.5731093747857319,0.8279718896970053,0.02760658593646081,0.05223223804832907,0.580078125,0.252197265625,0.100830078125,0.087646484375,5.929605373658315,5.948808263988507,0.16002011621275894,1.2072729879607074,0.08212738171914787,2.043570681173801
lens_00008,0.4562822999432683,0.001192642659874979,29.234896603458466,0.7021075084491388,0.7302185574404785,0.001192642659874979,29.234896603458466,0.7021075084491388,0.7302185574404783,0.0,0.0,1.0448829769660921,7.971016118738995,0.05136772141942947,0.18079614372548747,0.27745892863552496,0.060154501406285865,0.15531552436258156,0.006958473243531849,21.574860383556896,0.30241624778042137,0.6714703973224186,0.04217046477038968,0.0719730862516064,0.593505859375,0.247314453125,0.101806640625,0.0791015625,6.624792938841614,4.6037766891869465,0.1926400027004582,0.9644690529345432,0.0786401554887501,1.892870237997749
lens_00009,0.3962289000628516,0.0007149298050023573,31.45736597075389,0.8906674153111791,0.9089167399200077,0.0007149298050023573,31.45736597075389,0.8906674153111791,0.9089167399200077,0.0,0.0,1.0445668274828395,1.957953173361334,0.032185859539964334,1.6355559282290812,0.1410877064966136,0.04035709686718303,0.16248031840043586,0.0005415071870928647,32.66395774876042,0.893688367190001,0.9719385749154993,0.009994469205285886,0.021014703719002485,0.513916015625,0.14111328125,0.268310546875,0.097412109375,11.055819061625929,5.469355548693404,0.18198828606667267,1.2214476629839228,0.1277335777753632,2.081721871832274
